Employee Name,Employee Number,State,Zip,DOB,Age,Sex,MaritalDesc,Date of Hire,Skill set,Skill & time taken for transition worked ON,time taken for transition (HRs.),cost,experience
"Semizoglou, Jeremiah  ",904013591,MA,1545,02-09-1983,34,Male,Married,6/30/2016,"Informatica Admin,Oracle,Sql","DevOps Engineer, Chef, Jenkins",16,32,5
"South, Joe",1308060959,CT,6278,09-09-1965,52,Male,Single,11-10-2014,"Analysis, Analyst, Business Analyst, Consulting","Network Engineering, IP Video Delivery, Content Delivery Networks, Linux System Admin",32,64,6
"Warfield, Sarah",1301052347,MA,2453,05-02-1978,39,Female,widowed,3/30/2015,".Net, TFS, Web services, WCF",Java and C/C++,48,96,3
"Bramante, Elisa",1006020066,MA,2030,3/19/1983,34,Female,Single,01-05-2009,"HTML, JavaScript, CSS, AJAX","CISSP, CISM, CISA",52,104,2
"Albert, Michael  ",1501072311,MA,2169,10-10-1968,49,Male,Divorced,08-01-2011,".Net, Algorithms, Developer, JavaScript","Consulting, Lifecycle, Manager, Management",40,80,5
"Bozzi, Charles",1303054580,MA,1901,03-10-1970,47,Male,Single,9/30/2013,"Analyst, Business Analyst, Business Requirements, Consulting","Software, Retail, Buying, Demand Planning",60,120,10
"Butler, Webster  L",1110029990,MA,2169,08-09-1983,34,Male,Single,1/28/2016,".Net, Algorithms, Developer, JavaScript","Developer, Development, HTTP, Java",80,160,4
"Dunn, Amy  ",1409070147,MA,1731,11/28/1973,44,Female,Single,9/18/2014,"Angular JS, Java/J2EE, Spring , Hibernate","Access, Application, Business Requirements, CASE",24,48,12
"Gray, Elijiah  ",1307060077,MA,1752,07-11-1981,36,Male,Divorced,06-02-2015,"Algorithm Engineer , Computer vision, Open CV ,algorithm R&D experiences","Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt",16,32,4
"Hogland, Jonathan ",1001944783,MA,1890,07-01-1972,45,Male,Married,01-10-2011,"Node.js, JavaScript","Analysis, Architecture, Business Requirements, Citrix",32,64,7
"Immediato, Walter",1403065874,MA,2128,11/15/1976,41,Male,Married,2/21/2011,"SAP APO, MS Excel, BW reporting, Pharma or Biotech","CSS, HTML, HTTP",48,96,9
"Liebig, Ketsia",1103024679,MA,2110,10/26/1981,36,Female,Married,9/30/2013,"Linux, OOD, OOP, Programming","VNF Manager ,CI/CD",52,104,3
"Miller, Brannon",1107027351,MA,2045,08-10-1981,36,Male,Single,8/16/2012,"Project coordinator,procurement,budget","Architecture, CSS, Developer, Development",52,104,4
"Peterson, Ebonee  ",1402065355,MA,2030,05-09-1977,40,Female,Married,10/25/2010,"Oracle R12 E-Business, General Ledger, Asset Management, Projects",Point of Sale System Help Desk Manager,40,80,7
"Spirea, Kelley",1102024149,MA,2451,9/30/1975,42,Female,Married,10-02-2012,"Scientific Software, Business Analyst, Drug Development, biotech","Access, Brocade, Consulting, Engineer",60,120,8
"Stanley, David ",1000974650,MA,1803,12/17/1975,42,Male,Divorced,7/20/2010,"Application, C++, Development, Engineer","Access, AML, Application, Business Requirements",80,160,3
"Sullivan, Kissy ",1405067298,MA,1776,3/28/1978,39,Female,Married,01-08-2009,"Developer, Hardware, Java, Linux","Access, Apache, Applications, Computer",24,48,2
"Wallace, Courtney  E",1410071026,MA,2478,11/14/1955,62,Female,Married,9/26/2011,"C#, SQL, Stored Procedures, .NET","Agile, CSS, HTML, HTTP",16,32,5
"Adinolfi, Wilson  K",1409070522,MA,1960,07-10-1983,34,Male,Single,07-05-2011,"Algorithms, C++, Developer, Development","AP Technical Lead, SAP ERP, SAP ECC, HANA",32,64,7
"Alagbe,Trina",1011022883,MA,1886,9/27/1988,29,Female,Married,01-07-2008,"business development, sales, staffing","Contract Independent, Contract W2",48,96,8
"Anderson, Carol ",1001417624,MA,2169,09-08-1989,28,Female,Divorced,07-11-2011,"Analyst, Applications, Computer, Database","SOX, SARBANES OXLEY, SARBANES, AUDIT",52,104,8
"Anderson, Linda  ",1304055947,MA,1844,5/22/1977,40,Female,Single,01-09-2012,"DevOps Engineer, Chef, Jenkins","java, javascript, aws, amazon web services",80,160,6
"Athwal, Sam",1301052124,MA,2199,2/18/1983,34,Male,widowed,9/30/2013,"Network Engineering, IP Video Delivery, Content Delivery Networks, Linux System Admin",COBOL,24,48,4
"Bachiochi, Linda",1212051409,MA,1902,02-11-1970,47,Female,Single,07-06-2009,Java and C/C++,"digital analytics, Google, Adobe, Tableau",16,32,5
"Baczenski, Rachael  ",1307060083,MA,1902,01-12-1974,44,Female,Married,01-10-2011,"CISSP, CISM, CISA","Access, Analytical, Computer, Consulting",32,64,6
"Barbara, Thomas",1312063507,MA,2062,2/21/1974,43,Male,Married,04-02-2012,"Consulting, Lifecycle, Manager, Management","Agile, Analysis, Automated, CSS",48,96,3
"Barone, Francesco  A",1101023679,MA,1810,7/20/1983,34,Male,Single,2/20/2012,"Software, Retail, Buying, Demand Planning",PCI,52,104,2
"Barton, Nader",1212051962,MA,2747,7/15/1977,40,Male,Divorced,9/24/2012,"Developer, Development, HTTP, Java","iOS, Android, REST API, SQL",40,80,5
"Beatrice, Courtney ",1403066194,MA,1915,10/27/1970,47,Female,Single,04-04-2011,"Access, Application, Business Requirements, CASE","Access, Analytical, Analytical Skills, BASIC",60,120,10
"Becker, Scott",1110029777,MA,2452,04-06-1979,38,Male,Single,07-08-2013,"Mortgage/Equiting Lending, Lean Six Sigma Green Belt/Black Belt",".Net, Access, Analysis, API",80,160,4
"Bernstein, Sean",1109029366,MA,2072,12/22/1970,47,Male,Single,04-02-2012,"Analysis, Architecture, Business Requirements, Citrix",".Net, Access, Analyst, Application",24,48,12
"Biden, Lowan  M",1412071844,MA,2027,12/27/1958,59,Female,Divorced,8/19/2013,"CSS, HTML, HTTP","Access, Analysis, Analyst, Analytical",16,32,4
"Billis, Helen",1308060366,MA,2031,09-01-1989,28,Female,Married,07-07-2014,"VNF Manager ,CI/CD","Analysis, CRM, Development, Development Manager",32,64,7
"Brill, Donna",1406068293,MA,1701,8/24/1990,27,Female,Married,04-02-2012,"Architecture, CSS, Developer, Development","Java, OSS",48,96,9
"Bugali, Josephine ",1408069635,MA,2043,10/30/1969,48,Female,Separated,11-11-2013,Point of Sale System Help Desk Manager,"Consulting, Project, Sales, Sales Engineer",52,104,3
"Carey, Michael  ",1311063114,MA,1701,02-02-1983,34,Male,widowed,3/31/2014,"Access, Brocade, Consulting, Engineer","QA, Test Automated",40,80,4
"Chace, Beatrice ",1208048062,MA,2763,01-02-1951,67,Female,Single,9/29/2014,"Access, AML, Application, Business Requirements","Desktop, Hardware, Network, Software",60,120,7
"Chan, Lin",1305057282,MA,2170,02-12-1979,38,Female,Single,05-12-2014,"Access, Apache, Applications, Computer","Analysis, Analyst, Application, Business Analyst",80,160,8
"Chang, Donovan  E",1111030129,MA,1845,8/24/1983,34,Male,Single,07-08-2013,"Agile, CSS, HTML, HTTP","System Testing, Load/Performance Testing, FIX.FAST, C/C++",24,48,3
"Chivukula, Enola",1101023394,MA,1775,8/27/1983,34,Female,Single,6/27/2011,"AP Technical Lead, SAP ERP, SAP ECC, HANA","Agile, CASE, Consulting, Defect Management",16,32,2
"Cierpiszewski, Caroline  ",1012023295,MA,2044,5/31/1988,29,Female,Single,10-03-2011,"Contract Independent, Contract W2","MATLAB, LabVIEW",32,64,5
"Clukey, Elijian",1407069280,MA,2134,8/26/1980,37,Male,Married,07-06-2016,"SOX, SARBANES OXLEY, SARBANES, AUDIT","Angular.JS, React, Node.js, JavaScript",48,96,7
"Cockel, James",1599991009,MA,2452,09-08-1977,40,Male,Single,07-08-2013,"java, javascript, aws, amazon web services",selenium testing automation,52,104,8
"Cole, Spencer",1001450968,MA,1880,08-12-1979,38,Male,Single,07-11-2011,COBOL,"C and C++, Linux, UNIX",80,160,8
"Cornett, Lisa ",1403066069,MA,2189,3/31/1977,40,Female,Married,01-05-2015,"digital analytics, Google, Adobe, Tableau","Development, IT, Network, Project",24,48,6
"Crimmings,   Jean",1311063172,MA,1821,04-10-1987,30,Female,Single,07-06-2016,"Access, Analytical, Computer, Consulting","Android, Mobile",16,32,4
"Darson, Jene'ya ",1001109612,MA,2110,11-05-1978,39,Female,Married,07-02-2012,"Agile, Analysis, Automated, CSS","Scheduling, Primavera 6.0, Unifier, MS Project Stadard",32,64,5
"DeGweck,  James",1306058816,MA,1810,10/31/1977,40,Male,Married,5/16/2011,PCI,"AI, Maya, Browzwear, 3D",48,96,6
"Desimone, Carl ",1501072124,MA,2061,4/19/1967,50,Male,Married,07-07-2014,"iOS, Android, REST API, SQL","Java and Java EE, JSF, Spring, Struts",52,104,3
"Dickinson, Geoff ",706006285,MA,2180,11/15/1982,35,Male,Single,05-12-2014,"Access, Analytical, Analytical Skills, BASIC","Consulting, Database, Lifecycle, Management",40,80,2
"DiNocco, Lily ",1209048696,MA,2351,12-02-1978,39,Female,Married,01-07-2013,".Net, Access, Analysis, API",".NET and C#, SQl",60,120,5
"Dobrin, Denisa  S",1202031618,MA,2125,10-07-1986,31,Female,Single,04-02-2012,".Net, Access, Analyst, Application","Project Management, Operations Analysis, BANKING, (Financial Services",80,160,10
"Eaton, Marianne",1406067865,MA,2343,09-05-1991,26,Female,Married,04-04-2011,"Access, Analysis, Analyst, Analytical","Informatica Admin,Oracle,Sql",24,48,4
"Engdahl, Jean",1007020403,MA,2026,5/31/1974,43,Male,Single,11-10-2014,"Analysis, CRM, Development, Development Manager","Analysis, Analyst, Business Analyst, Consulting",16,32,12
"England, Rex",1101023612,MA,2045,8/25/1978,39,Male,Married,3/31/2014,"Java, OSS",".Net, TFS, Web services, WCF",32,64,4
"Estremera, Miguel",1104025243,MA,2129,09-02-1983,34,Male,Single,04-02-2012,"Consulting, Project, Sales, Sales Engineer","HTML, JavaScript, CSS, AJAX",48,96,7
"Evensen, April",1107027392,MA,2458,05-06-1989,28,Female,Single,2/17/2014,"QA, Test Automated",".Net, Algorithms, Developer, JavaScript",52,104,9
"Ferguson, Susan",1502072511,MA,2176,4/14/1955,62,Female,Married,11-07-2011,"Desktop, Hardware, Network, Software","Java, OSS",40,80,3
"Fernandes, Nilson  ",1302053339,MA,2132,10/18/1989,28,Male,Married,05-11-2015,"Analysis, Analyst, Application, Business Analyst","Consulting, Project, Sales, Sales Engineer",60,120,4
"Ferreira, Violeta",803009012,MA,2176,06-10-1986,31,Female,Single,2/20/2012,"System Testing, Load/Performance Testing, FIX.FAST, C/C++","QA, Test Automated",80,160,7
"Fidelia,  Libby",1006020020,MA,2155,3/16/1981,36,Female,Married,01-09-2012,"Agile, CASE, Consulting, Defect Management","Desktop, Hardware, Network, Software",24,48,8
"Garcia, Raul",1309061015,MA,1905,9/15/1985,32,Male,Single,3/30/2015,"MATLAB, LabVIEW","Analysis, Analyst, Application, Business Analyst",16,32,3
"Garneau, Hamish",1104025414,MA,1550,4/18/1980,37,Male,Single,07-08-2013,"Angular.JS, React, Node.js, JavaScript","System Testing, Load/Performance Testing, FIX.FAST, C/C++",32,64,2
"Gaul, Barbara",1105026041,MA,2121,12-02-1983,34,Female,widowed,5/16/2011,selenium testing automation,"Agile, CASE, Consulting, Defect Management",48,96,5
"Gentry, Mildred",1501072192,MA,2145,10-01-1990,27,Female,Married,3/30/2015,"C and C++, Linux, UNIX","MATLAB, LabVIEW",52,104,7
"Gerke, Melisa",1308060622,MA,2330,5/15/1970,47,Female,Divorced,11-07-2011,"Development, IT, Network, Project","Angular.JS, React, Node.js, JavaScript",80,160,8
"Gilles, Alex",1008020960,MA,2062,08-09-1974,43,Male,Married,04-02-2012,"Android, Mobile",selenium testing automation,24,48,8
"Girifalco, Evelyn",1204032927,MA,2451,05-08-1980,37,Female,Single,9/29/2014,"Scheduling, Primavera 6.0, Unifier, MS Project Stadard","C and C++, Linux, UNIX",16,32,6
"Gold, Shenice  ",1408069539,MA,2451,6/18/1992,25,Female,Single,11-11-2013,"AI, Maya, Browzwear, 3D","Development, IT, Network, Project",32,64,4
"Gonzalez, Cayo",1411071212,MA,2108,9/29/1969,48,Male,Divorced,07-11-2011,"Java and Java EE, JSF, Spring, Struts","Android, Mobile",48,96,5
"Gordon, David",1106026579,MA,2169,5/21/1979,38,Male,Married,07-02-2012,"Consulting, Database, Lifecycle, Management","Scheduling, Primavera 6.0, Unifier, MS Project Stadard",52,104,6
"Goyal, Roxana",1312063675,MA,1864,10-09-1974,43,Female,Married,8/19/2013,".NET and C#, SQl","AI, Maya, Browzwear, 3D",40,80,3
"Gross, Paula",1103024859,MA,2176,5/21/1983,34,Female,Divorced,2/21/2011,"Project Management, Operations Analysis, BANKING, (Financial Services","Java and Java EE, JSF, Spring, Struts",60,120,2
"Handschiegl, Joanne",1405067064,MA,2127,3/23/1977,40,Female,Married,11/28/2011,"Informatica Admin,Oracle,Sql","Consulting, Database, Lifecycle, Management",80,160,5
"Harrell, Ludwick",1406068241,MA,1776,09-02-1982,35,Male,Married,5/14/2012,"Analysis, Analyst, Business Analyst, Consulting",".NET and C#, SQl",24,48,10
"Harrington, Christie ",1110029602,MA,2324,8/18/1952,65,Female,Single,01-09-2012,".Net, TFS, Web services, WCF","Project Management, Operations Analysis, BANKING, (Financial Services",16,32,4
"Harrison, Kara",1404066622,MA,1886,05-02-1974,43,Female,Married,05-12-2014,"HTML, JavaScript, CSS, AJAX","Informatica Admin,Oracle,Sql",32,64,12
"Heitzman, Anthony",1002017900,MA,2149,01-04-1984,34,Male,Single,8/13/2012,".Net, Algorithms, Developer, JavaScript","Analysis, Analyst, Business Analyst, Consulting",48,96,4
"Ivey, Rose ",1408069882,MA,1775,1/28/1991,27,Female,Single,8/19/2013,"Java, OSS",".Net, TFS, Web services, WCF",52,104,7
"Jackson, Maryellen",1201031438,MA,2081,09-11-1972,45,Female,Separated,11-05-2012,"Consulting, Project, Sales, Sales Engineer","HTML, JavaScript, CSS, AJAX",40,80,9
"Jacobi, Hannah  ",1503072857,MA,1778,3/22/1966,51,Female,Divorced,9/30/2013,"QA, Test Automated",".Net, Algorithms, Developer, JavaScript",60,120,3
"Jhaveri, Sneha  ",1412071713,MA,2109,4/13/1964,53,Female,Separated,01-06-2014,"Desktop, Hardware, Network, Software","QA, Test Automation",80,160,4
"Johnson, George",1105025721,MA,2445,8/19/1959,58,Male,Married,11-07-2011,"Analysis, Analyst, Application, Business Analyst","linux/unix, network monitoring, incident response, systems administration",24,48,7
"Jung, Judy  ",1107027450,MA,2446,4/17/1986,31,Female,Married,01-10-2011,"System Testing, Load/Performance Testing, FIX.FAST, C/C++","Enterprise Solutions Architecture, business inteligence, reports, reporting",16,32,8
"Keatts, Kramer ",1301052462,MA,1887,1/19/1976,42,Male,Single,9/30/2013,"Agile, CASE, Consulting, Defect Management","Configuration Management, Developer, Linux, Management",32,64,3
"Kinsella, Kathleen  ",710007401,MA,2170,12-08-1973,44,Female,Married,9/26/2011,"MATLAB, LabVIEW","Architecture, CSS, Developer, Development",48,96,2
"Kirill, Alexandra  ",903013071,MA,2127,10-08-1970,47,Female,Married,9/26/2011,"Angular.JS, React, Node.js, JavaScript",Point of Sale System Help Desk Manager,52,104,5
"Knapp, Bradley  J",1304055683,MA,1721,11-10-1977,40,Male,Single,2/17/2014,selenium testing automation,"Access, Brocade, Consulting, Engineer",80,160,7
"Kretschmer, John",1311062610,MA,1801,02-02-1980,37,Male,Married,01-10-2011,"C and C++, Linux, UNIX","Access, AML, Application, Business Requirements",24,48,8
"Langton, Enrico",1304055987,MA,2048,12-09-1986,31,Male,Married,07-09-2012,"Development, IT, Network, Project","Access, Apache, Applications, Computer",16,32,8
"Leach, Dallas",1408069409,MA,1810,1/17/1979,39,Female,Single,9/26/2011,"Android, Mobile","Agile, CSS, HTML, HTTP",32,64,6
"LeBel, Jonathan  R",1107027575,MA,2050,10/18/1981,36,Male,Single,2/21/2011,"Scheduling, Primavera 6.0, Unifier, MS Project Stadard","AP Technical Lead, SAP ERP, SAP ECC, HANA",48,96,4
"Linares, Marilyn ",1206042315,MA,1886,3/26/1981,36,Female,Married,07-05-2011,"AI, Maya, Browzwear, 3D","Contract Independent, Contract W2",52,104,5
"Lydon, Allison",1101023353,MA,2122,10/22/1975,42,Female,Married,2/16/2015,"Java and Java EE, JSF, Spring, Struts","SOX, SARBANES OXLEY, SARBANES, AUDIT",40,80,6
"Lynch, Lindsay",1001138521,MA,1844,2/14/1973,44,Female,Single,11-07-2011,"Consulting, Database, Lifecycle, Management","java, javascript, aws, amazon web services",60,120,3
"MacLennan, Samuel",1201031032,MA,1938,11-09-1972,45,Male,widowed,9/24/2012,".NET and C#, SQl",COBOL,80,160,2
"Mahoney, Lauren  ",1209049259,MA,2189,07-07-1986,31,Female,Single,01-06-2014,"Project Management, Operations Analysis, BANKING, (Financial Services","digital analytics, Google, Adobe, Tableau",24,48,5
"Mangal, Debbie",1308060754,MA,2451,11-07-1974,43,Female,Married,11-11-2013,"Informatica Admin,Oracle,Sql","Access, Analytical, Computer, Consulting",16,32,10
"Maurice, Shana",1401064327,MA,2330,11/22/1977,40,Female,Married,5/31/2011,"Analysis, Analyst, Business Analyst, Consulting","Agile, Analysis, Automated, CSS",32,64,4
"Mckenna, Sandy",909015167,MA,2184,01-07-1987,31,Female,Married,01-07-2013,".Net, TFS, Web services, WCF",PCI,48,96,12
"Meads, Elizabeth",1409070245,MA,1760,5/30/1968,49,Female,Single,04-02-2012,"HTML, JavaScript, CSS, AJAX","iOS, Android, REST API, SQL",52,104,4
"Medeiros, Jennifer",1109029256,MA,2346,9/22/1976,41,Female,Single,3/30/2015,".Net, Algorithms, Developer, JavaScript","Access, Analytical, Analytical Skills, BASIC",40,80,7
"Motlagh,  Dawn",1102024121,MA,2453,07-07-1984,33,Female,Divorced,04-01-2013,"QA, Test Automation",".Net, Access, Analysis, API",60,120,9
"Ndzi, Colombui",1204033041,MA,2110,05-02-1989,28,Male,Single,9/26/2011,"linux/unix, network monitoring, incident response, systems administration",".Net, Access, Analyst, Application",80,160,3
"Ndzi, Horia",1204033041,MA,2421,3/28/1983,34,Male,Married,04-01-2013,"Enterprise Solutions Architecture, business inteligence, reports, reporting","Access, Analysis, Analyst, Analytical",24,48,4
"Newman, Richard ",1302053044,MA,2136,04-08-1977,40,Male,Married,05-12-2014,"Configuration Management, Developer, Linux, Management","Analysis, CRM, Development, Development Manager",16,32,7
"Ngodup, Shari ",1403066020,MA,1810,06-03-1967,50,Female,Separated,04-01-2013,"Architecture, CSS, Developer, Development","FICO, AR, AP, Asset Management",32,64,8
"Nguyen, Lei-Ming",1203032357,MA,2132,07-07-1984,33,Female,Single,07-08-2013,Point of Sale System Help Desk Manager,"Cisco, DNS, HTTP, Networking",48,96,3
"O'hare, Lynn",1206044851,MA,2152,9/30/1980,37,Female,widowed,3/31/2014,"Access, Brocade, Consulting, Engineer",".NET , C#, MVC, RESTful web services",52,104,2
"Osturnka, Adeel",1404066949,MA,2478,12-11-1976,41,Male,Married,9/30/2013,"Access, AML, Application, Business Requirements","C++, Developer, Development, JavaScript",80,160,5
"Owad, Clinton",1103024335,MA,1760,11/24/1979,38,Male,Single,2/17/2014,"Access, Apache, Applications, Computer","Unix, IAM, Scripting knowledge, OIM",24,48,7
